nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Rue de Boutras;Grigny;69096;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;221,41;Arrêté n° AR 2019/001 du 14/01/2019 // ABS de marquage le 25-08-2020 //;4451
Allée du Parc Technologique;Saint-Priest;69290;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2014;392,91;;2252
Chemin des Grenettes;Quincieux;69163;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2021;1150,48;Arrêté n°2020/204 le 08/12/20;6416
Bassin de Minerve;Saint-Priest;69290;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2015;121,06;;2512
Rue Condorcet;Saint-Priest;69290;;;Réseau de desserte;PPI DGEEP VTP;Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2014;150,11;;2323
Promenade Lénine;Vaulx-en-Velin;69256;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2017;54,60;;3434
Grande Rue de la Rotonnière;Grigny;69096;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2014;186,79;Zone de rencontre;2306
Rue François Héritier ;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2022;231,07;;6783
Rue Combet;Villeurbanne;69266;;;Réseau de desserte;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;79,72;Arrêté 2022P0133-LP du 04/11/2022;6724
Avenue de la Colombe;Grigny;69096;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2018;894,98;;4079
8ème Rue Cité Berliet;Saint-Priest;69290;;;Réseau secondaire;PPI DGEEP VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2012;37,18;;5870
Rue des Collières;Mions;69283;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;81,94;;1626
Rond-point des Monts d'Or;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2017;54,09;Arrêté N°2017RP34014 du 01/12/2017;3751
Chemin de Bellegarde;Neuville-sur-Saône;69143;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;93,09;Arrêté n°8788 le 18/06/21 // ABS de marquage 03-0322 //;6232
Rue Guillaume Apollinaire;Meyzieu;69282;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;540,59;Arrêté n°19-R-1724 le 09/12/19;5925
Rue des Augustins;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OI DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2014;167,86;Zone de rencontre Sathonay;2219
Avenue de l'Europe;Rillieux-la-Pape;69286;;;Réseau de desserte;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2009;340,69;;1631
Rue Masséna;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;671,28;Arrêté n°2021RP39779 le 15/12/21;6551
Chemin de Liasse, de l'Avenue de Verdun au n°20;Dardilly;69072;;;Réseau secondaire;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2023;309,26;Arrêté n°599-AR2022 du 14/03/23;6828
Rue de l'Abbé Rozier;Lyon 1er Arrondissement;69381;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2010;60,86;Zone 30;947
Rue Bellecordière;Lyon 2e Arrondissement;69382;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2010;188,46;zone 30;854
Rue de la Bussière;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;342,39;Arrêté n°PM19-16 du 07/06/2019 (Zone 30);5237
Rue Voltaire;Pierre-Bénite;69152;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;368,61;Arrêté n°VILLE2021AR120 le 01/07/21 // ABS de marquage 18-11-21 //;6254
Rue d'Alsace;Villeurbanne;69266;;;Réseau secondaire;OI DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2011;81,24;;847
Rue du Chêne prolongée;Chassieu;69271;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Sans objet;Sans objet;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;;;;84,87;;4027
Rue du Chapeau Rouge;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2017;286,24;;3773
Rue de la Sara;Oullins;69149;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;232,15;Zone 30;2462
Rue Philibert Delorme;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;43,58;Zone 30;3051
Rue Charles Simon;Givors;69091;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;177,70;Zone 30;2897
Rue Godefroy;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;68,99;Arrêté N°2018RP34729 du 27/08/18;4061
Rue Dugas Montbel;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;346,44;;2864
Montée Saint Sébastien;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2021;80,48;Arrêté n°2021RP40040 le 19/11/21;6495
Rue Lafontaine;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;129,44;;6832
Rue Lafontaine;Villeurbanne;69266;;;Réseau de desserte;PPI DGEEP VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;246,63;;6831
Rue Ambroise Paré;Saint-Priest;69290;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2015;356,91;;2664
Montée des Autrichiens;Givors;69091;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2008;403,75;;1762
Rue Paul Montrochet;Lyon 2e Arrondissement;69382;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2012;310,04;;1688
Rue du 8 Mai 1945, entre la Rue Michel Rocard et l'Avenue Roger Salengro;Villeurbanne;69266;;;Réseau structurant et super structurant;;Piste Cyclable;Piste Cyclable;Bilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo obligatoire;;2023;146,95;Arrêté n°2022P0160-LP du 24/03/23;6833
Rue Jacques Daligand;Bron;69029;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;;Métropole;Contresens (sens réservé);Zone 30;2017;206,52;;3395
Rue Bergonier;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;191,53;Arrêté n°2018P0240-LP du 12/12/2018;3228
Rue Magenta;Villeurbanne;69266;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;287,81;;5298
Rue Maurice Flandin;Lyon 3e Arrondissement;69383;;;Réseau de desserte;PPI (DMOU);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2020;276,90;;5504
Boulevard de la Bataille de Stalingrad;Villeurbanne;69266;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2020;752,51;;5733
Rue Bizet;Écully;69081;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2019;112,02;;6048
Chemin de Pressin;Saint-Genis-Laval;69204;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Voie verte;;Sans objet;Double;Voie de circulation;Sur chaussée;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2022;460,54;;6784
Rue du Bourbonnais;Lyon 9e Arrondissement;69389;;;Réseau structurant et super structurant;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2014;161,94;zone 30;673
Rue Saint-Isidore;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;542,80;Arrêté Zone 30 n°2019RP36023 du 25/07/2019;5103
Avenue Georges Pompidou;Saint-Priest;69290;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2018;110,16;;4437
Rue Ravat;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;353,21;Arrêté N°2016RP33084 du 06/10/2016 - Manque pictogramme entre Rue Charlemagne/Seguin;2857
Rue des Cuirassiers, entre la Rue Desaix et la Rue Paul Bert;Lyon 3e Arrondissement;69383;;;Réseau de desserte;;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2023;53,19;;6835
Grande Rue;Francheville;69089;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;195,79;;6378
Rue du Collovrier;Écully;69081;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;;;;213,76;;493
Rue Madier Montjau;Saint-Fons;69199;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;279,79;Arrêté n°UC 19/043 du 07/06/2019;4839
Rue du Dauphiné;Corbas;69273;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;119,19;;1703
Avenue de Verdun;Meyzieu;69282;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;;;;89,49;;472
Rue de Bourgogne;Saint-Priest;69290;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo obligatoire;;2008;260,96;;158
Rue des Etoiles;Bron;69029;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2012;57,47;;1672
Rue Georges Bizet prolongée;Décines-Charpieu;69275;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Voie de circulation;Sur chaussée;;;Métropole;Voie verte;;;311,78;;2236
Rue Crépet, de Rue Michel Félizat à Rue Félix Brun;Lyon 7e Arrondissement;69387;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2023;289,03;Arrêté n°2023RP43860 du 21/12/23;777
Rue des Moissons;Saint-Fons;69199;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;251,36;;5621
Rue Godefroy;Lyon 6e Arrondissement;69386;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;217,13;;4209
Rue Ferrachat;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2022;59,48;Arrêté n°2021RP40396 le 11/01/22;6572
Avenue Maurice Jarrosson;Sainte-Foy-lès-Lyon;69202;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;;;;570,69;;513
Rue Pierre Dupont;Fontaines-Saint-Martin;69087;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;43,80;Arrêté n°2-2021 le 16/06/21 // ABS de marquage au 09-03-22 //;6225
Allée Eugène Niboyet;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2017;111,26;;3611
Rue Colonel Henri Rol Tanguy;Vaulx-en-Velin;69256;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;94,33;;3424
Route d'Heyrieux;Saint-Priest;69290;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;;;;224,48;;1809
Rue Moncey;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2018;39,90;;4166
Rue Turenne;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2018;93,37;;4145
Rue Louis Adam;Villeurbanne;69266;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;283,52;;5313
Rue du Parc;Oullins;69149;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;143,70;Zone 30;2483
Rue Henri Brosse;Pierre-Bénite;69152;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo obligatoire;;2011;387,72;;1548
Rue du pont de Chabrol;Craponne;69069;;;Réseau de desserte;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2020;265,05;Arrêté n°19.441 P du 25/02/2020;5906
Allée des Faisans;Vénissieux;69259;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sur chaussée;;;Métropole;Voie verte;;;88,31;;5577
Boulevard  Marcel Sembat;Vénissieux;69259;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2009;442,94;Partie Est : neuf (T4) - Partie Ouest : ancien;550
Chemin des Flachères;Charly;69046;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2017;174,55;;3629
Place Clair Tisseur;Sainte-Foy-lès-Lyon;69202;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2020;27,50;;6203
Chemin Petit;Caluire-et-Cuire;69034;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2019;153,82;;5337
Avenue Pierre Cot;Saint-Priest;69290;Vénissieux;69259;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2006;223,63;;119
Rue Jérome Dulaar;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;212,88;;3341
Rue Barthélémy Thimonnier;Tassin-la-Demi-Lune;69244;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2009;401,38;;318
Rue d'Alsace;Villeurbanne;69266;;;Réseau de desserte;OR DIEM/STEP;Couloir bus vélo non élargi;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;247,54;;5299
Boulevard Emile Bollaert;Bron;69029;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sur chaussée;;;Métropole (ex-RD);Voie verte;;;234,83;;214
Chemin du Pontet;Décines-Charpieu;69275;;;Réseau de desserte;;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;504,17;Arrêté 22-2068 du 19/07/2022 // ABS d'aménagement cyclabe 20220829 //;6677
Boulevard Yves Farge;Saint-Fons;69199;;;Réseau structurant et super structurant;PPI DGEEP VTP;Couloir bus vélo non élargi;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2019;86,73;;4738
Allée des Vernes;Décines-Charpieu;69275;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Berges - Chemin de halage;Sans objet;;;Métropole;;;;437,89;;333
Rue du Sauveur;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;136,20;Arrêté n°2021RP39277 le 15/07/21;6311
Rue Georges Guiard;Vénissieux;69259;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2019;113,54;;5336
Rue Croix-Barret;Lyon 8e Arrondissement;69388;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2012;173,88;Arrêté N°2012RP27934 du 20/08/12;1722
Rue Duguesclin;Lyon 3e Arrondissement;69383;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2002;1217,49;;39
Place Edouard Commette;Lyon 5e Arrondissement;69385;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;55,61;;3241
Avenue André Latarjet;Villeurbanne;69266;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2020;45,43;;5956
Chemin de Pommier;Jonage;69279;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Voie de circulation;Sur chaussée;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;;1584,66;;2455
Rue Descartes;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2015;150,97;;2696
Rue André Lassagne;Caluire-et-Cuire;69034;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;241,99;Arrêté N°1012 du 13/09/2022;6752
Rue des Allobroges;Corbas;69273;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2011;108,71;;2448
Avenue Esquirol;Lyon 3e Arrondissement;69383;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2016;672,30;Arrêté N°2016RP32804 du 19/07/2016;2717
Rue Jean Larrivée;Lyon 3e Arrondissement;69383;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2018;219,86;;4272
Rue Saint Michel;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;234,75;Arrêté n°2019RP35554 du 03/12/2019;4707
Rue Gabriel Ladevèze;Rillieux-la-Pape;69286;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2009;269,26;;752
