nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Rue Lanterne;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2016;193,59;;2971
Rue de l'Epargne;Lyon 7e Arrondissement;69387;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;172,47;Aménagement cyclable de transition pérennisé;5710
Rue Montesquieu;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;60,60;Arrêté n°2019RP35554 du 03/12/2019;4717
Allée CLEA;Villeurbanne;69266;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2015;111,21;;2638
Rue Jonas Salk;Lyon 7e Arrondissement;69387;;;Réseau structurant et super structurant;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2014;70,59;Zone 30;2565
Rue Mourguet;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2022;70,99;Arrêté n°2021RP40396 le 11/01/22;6573
Rue des Deux Places;Lyon 9e Arrondissement;69389;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2014;108,34;Zone 30;2177
Liaison Faure/Oussekine;Givors;69091;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;76,41;Zone de rencontre;2901
Rue Ferrandière;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2010;103,87;zone 30;3196
Rue de la Bombarde;Lyon 5e Arrondissement;69385;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2020;204,88;Aménagement cyclable de transition;5684
Rue Gilbert Dru;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;124,16;Arrêté n°2019RP35554 du 03/12/2019;4725
Rue Docteur Salvat;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;73,24;;4628
Rue Pasteur;Caluire-et-Cuire;69034;;;Réseau de desserte;PPI DGEEP VTP;Couloir bus vélo non élargi;Bande Cyclable;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;;;2009;248,66;Aménagement C2;261
Rue Jean-Baptiste Say;Lyon 1er Arrondissement;69381;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;181,89;Zone 30;3045
Voie verte des Gaulnes;Jonage;69279;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2009;292,29;;2217
Chemin de l'Allée;Chassieu;69271;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Sans objet;Sans objet;;;Métropole;Voie verte;;2010;452,46;;329
Rives de l'Yzeron;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Vélo facultatif;;;172,28;;2029
Quai d'Illhaeusern;Collonges-au-Mont-d'Or;69063;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Couloir bus vélo non élargi;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);Vélo facultatif;;;167,99;;1841
Rue du Batonnier Jacquier;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;214,40;Arrêté n°2021RP39277 le 15/07/21;6310
Rue Sainte-Marie des Terreaux;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2017;55,81;;3521
Place Bellecour;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;131,59;Zone 30;3137
Rue Jules Verne;Saint-Priest;69290;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;;;;82,49;;461
Cours Tolstoï;Villeurbanne;69266;;;Réseau structurant et super structurant;Sytral;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;308,86;;5832
Chemin de la plage;Fontaines-sur-Saône;69088;;;Réseau structurant et super structurant;PPI (DMOU);Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Voie verte;;2013;49,83;;2055
Rue Bély;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;128,20;;3294
Route de Lyon;Vernaison;69260;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2008;285,20;;570
Chemin de halage;Villeurbanne;69266;;;Réseau structurant et super structurant;PPI DGEEP VTP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Voie verte;;;254,50;;541
Place Jules Grandclément;Vénissieux;69259;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2018;132,26;;4129
Chemin Jean-Marie Vianney;Écully;69081;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;374,82;;491
Chemin de Halage;Vaulx-en-Velin;69256;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Voie verte;;2017;216,93;;3444
